Date,Closing_Price
2025-01-27,45.25
2025-01-28,45.34
2025-01-29,45.02
2025-01-30,44.53
2025-01-31,44.09
2025-02-03,44.33
2025-02-04,44.05
2025-02-05,44.73
2025-02-06,45.26
2025-02-07,44.0
2025-02-10,43.46
2025-02-11,43.63
2025-02-12,42.82
2025-02-13,42.9
2025-02-14,43.28
2025-02-18,45.76
2025-02-19,47.31
2025-02-20,46.43
2025-02-21,45.09
2025-02-24,46.17
2025-02-25,46.63
2025-02-26,45.99
2025-02-27,43.36
2025-02-28,43.97
2025-03-03,43.39
2025-03-04,40.44
2025-03-05,41.04
2025-03-06,39.01
2025-03-07,37.64
2025-03-10,36.02
2025-03-11,34.5
2025-03-12,35.41
2025-03-13,35.06
2025-03-14,37.8
2025-03-17,38.88
2025-03-18,35.95
2025-03-19,37.22
2025-03-20,37.13
2025-03-21,37.44
2025-03-24,38.82
2025-03-25,37.46
2025-03-26,37.33
2025-03-27,37.1
2025-03-28,35.42
2025-03-31,35.67
2025-04-01,36.12
2025-04-02,37.37
2025-04-03,31.98
2025-04-04,31.48
2025-04-07,30.04
2025-04-08,28.29
2025-04-09,33.57
2025-04-10,32.29
2025-04-11,31.91
2025-04-14,32.2
2025-04-15,31.74
2025-04-16,31.84
2025-04-17,33.4
2025-04-21,32.94
2025-04-22,34.35
2025-04-23,35.46
2025-04-24,36.01
2025-04-25,36.1
2025-04-28,35.55
2025-04-29,35.23
2025-04-30,34.41
2025-05-01,34.92
2025-05-02,35.8
2025-05-05,35.73
2025-05-06,35.43
2025-05-07,36.11
2025-05-08,34.44
2025-05-09,35.91
2025-05-12,38.13
2025-05-13,37.16
2025-05-14,36.92
2025-05-15,36.74
2025-05-16,37.78
2025-05-19,37.09
2025-05-20,36.33
2025-05-21,34.2
2025-05-22,34.67
2025-05-23,34.2
2025-05-27,35.06
2025-05-28,34.53
2025-05-29,34.61
2025-05-30,33.56
2025-06-02,32.74
2025-06-03,33.11
2025-06-04,33.26
2025-06-05,32.85
2025-06-06,33.25
2025-06-09,31.82
2025-06-10,32.7
2025-06-11,32.03
2025-06-12,31.76
2025-06-13,29.87
2025-06-16,29.48
2025-06-17,29.3
2025-06-18,30.34
2025-06-20,30.35
2025-06-23,30.49
2025-06-24,30.49
2025-06-25,30.25
2025-06-26,30.64
2025-06-27,30.89
2025-06-30,30.43
2025-07-01,31.87
2025-07-02,31.92
2025-07-03,32.15
2025-07-07,31.07
2025-07-08,31.46
2025-07-09,31.88
2025-07-10,31.35
2025-07-11,29.72
2025-07-14,28.71
2025-07-15,27.28
2025-07-16,28.04
2025-07-17,29.44
2025-07-18,30.75
2025-07-21,30.96
2025-07-22,31.6
